"View all", "Смотреть все"
"Gallery views", "Галерея"
"Edit gallery view", "Редактирование представления галереи"
"Add view", "Добавить представление"
"Add new view", "Добавить новое представление"
"Edit view", "Редактирование представления"
"File", "Файл"
"File url", "Ссылка на файл"
"The <a href ='%s'>file</a> is attached to this view. To delete <input type='checkbox' name='file[delete]' value ='1'>", "<a href ='%s'>Файл</a> связан с этим представлением. Чтобы удалить его, поставьте галочку <input type='checkbox' name='file[delete]' value ='1'>"
"Updated Date", "Дата последнего редактирования"
"Use in slider", "Использовать в слайдере"
"Position", "Позиция"
"Go to gallery", "Перейти в галерею"